humidite_sol,temperature_air,humidite_air,pluie_prevue_mm,type_sol,type_culture,besoin_arrosage,quantite_eau_litres_m2
22.5,12.0,57.3,0.7,Sableux,Arboriculture,1,8.0
65.0,20.7,38.6,6.5,Argileux,Maraîchage,1,6.0
18.5,32.9,69.0,3.1,Limoneux,Céréales,0,0.0
38.7,21.6,28.9,3.1,Limoneux,Céréales,0,0.0
32.1,20.2,77.3,6.9,Limoneux,Arboriculture,1,8.0
48.6,35.2,47.6,3.0,Argileux,Maraîchage,1,7.98
30.9,35.4,29.8,15.1,Sableux,Céréales,0,0.0
39.0,29.6,83.7,1.3,Argileux,Maraîchage,1,7.19
39.8,22.8,53.8,2.8,Sableux,Arboriculture,0,0.0
28.8,24.3,89.3,0.8,Sableux,Céréales,0,0.0
55.7,20.4,77.0,2.4,Limoneux,Céréales,0,0.0
50.2,19.0,40.6,1.7,Argileux,Céréales,0,0.0
43.1,18.7,53.5,0.6,Argileux,Maraîchage,1,6.6
35.5,21.7,57.2,0.9,Argileux,Arboriculture,1,10.68
62.5,18.8,82.5,1.3,Argileux,Céréales,1,4.0
39.8,15.1,62.9,2.1,Argileux,Maraîchage,1,6.0
38.3,27.5,58.2,3.6,Limoneux,Céréales,1,4.03
47.3,27.6,51.4,1.3,Sableux,Arboriculture,0,0.0
82.3,37.9,54.1,0.8,Argileux,Arboriculture,1,8.0
15.5,21.3,78.5,5.9,Limoneux,Céréales,1,4.1
61.9,28.1,55.1,8.3,Limoneux,Maraîchage,0,0.0
3.4,28.2,47.9,1.8,Limoneux,Céréales,1,8.99
49.8,24.2,44.8,1.8,Sableux,Céréales,0,0.0
79.7,31.2,45.0,0.2,Argileux,Céréales,0,0.0
55.8,31.4,29.8,1.0,Argileux,Maraîchage,0,0.0
48.8,28.3,41.5,0.9,Limoneux,Céréales,1,4.61
32.7,24.2,82.0,2.5,Limoneux,Céréales,0,0.0
45.7,23.5,51.3,0.4,Argileux,Arboriculture,1,9.77
39.5,16.4,67.7,1.2,Limoneux,Céréales,0,0.0
27.7,20.4,10.4,3.9,Limoneux,Céréales,0,0.0
38.6,21.6,65.2,3.4,Limoneux,Céréales,1,4.0
49.4,18.1,52.1,1.1,Sableux,Maraîchage,0,0.0
28.1,29.1,46.3,0.4,Sableux,Maraîchage,1,9.2
27.3,34.4,58.3,1.2,Limoneux,Arboriculture,1,13.97
15.1,19.6,46.1,2.1,Argileux,Arboriculture,1,14.71
53.6,28.0,16.8,2.3,Sableux,Arboriculture,0,0.0
57.0,18.8,71.6,0.3,Argileux,Céréales,1,4.0
50.1,23.9,59.4,1.4,Argileux,Maraîchage,0,0.0
66.2,21.2,49.3,5.6,Sableux,Arboriculture,0,0.0
46.9,30.2,37.6,8.7,Limoneux,Céréales,1,4.0
53.6,21.2,28.5,8.9,Sableux,Maraîchage,0,0.0
51.7,33.1,59.0,0.3,Argileux,Arboriculture,1,10.43
43.0,24.3,84.0,7.9,Argileux,Arboriculture,0,0.0
33.3,21.5,58.7,4.8,Limoneux,Arboriculture,0,0.0
93.7,17.2,30.1,3.1,Sableux,Maraîchage,0,0.0
35.1,27.8,59.1,2.0,Argileux,Arboriculture,1,11.5
30.4,32.3,54.0,0.8,Limoneux,Céréales,1,6.65
54.5,27.9,70.6,2.7,Argileux,Céréales,1,4.0
50.5,41.7,65.9,0.4,Argileux,Arboriculture,1,12.28
14.1,36.0,10.0,0.2,Argileux,Céréales,1,11.71
69.7,23.8,64.8,7.5,Argileux,Maraîchage,0,0.0
42.9,23.8,36.9,0.8,Sableux,Maraîchage,0,0.0
20.6,29.3,29.4,7.0,Limoneux,Céréales,1,6.18
71.2,20.1,51.6,0.5,Limoneux,Arboriculture,0,0.0
58.8,34.2,62.4,0.9,Limoneux,Arboriculture,0,0.0
17.2,28.5,25.5,0.6,Sableux,Céréales,1,8.03
84.1,27.8,67.7,1.6,Limoneux,Arboriculture,0,0.0
59.5,30.8,68.7,5.8,Sableux,Arboriculture,0,0.0
44.8,38.1,55.8,7.1,Argileux,Céréales,0,0.0
80.0,27.2,39.4,2.0,Argileux,Céréales,1,4.0
48.5,25.2,37.4,3.3,Argileux,Arboriculture,1,8.67
44.4,36.6,73.5,0.3,Argileux,Céréales,1,5.88
30.5,32.8,27.8,0.3,Limoneux,Maraîchage,1,11.92
57.8,23.8,74.2,5.0,Argileux,Arboriculture,0,0.0
55.5,26.0,52.0,1.6,Limoneux,Céréales,0,0.0
45.3,27.4,53.3,4.3,Sableux,Céréales,0,0.0
27.6,28.5,24.3,1.6,Argileux,Arboriculture,1,16.37
47.9,16.5,52.4,2.3,Limoneux,Arboriculture,0,0.0
43.5,15.2,66.0,2.9,Sableux,Maraîchage,0,0.0
15.7,19.8,30.9,1.8,Limoneux,Céréales,1,7.22
12.6,19.2,64.0,1.5,Argileux,Maraîchage,1,10.61
57.4,21.5,56.6,1.5,Sableux,Céréales,0,0.0
2.0,30.4,43.4,0.4,Limoneux,Céréales,1,10.1
49.5,24.8,70.4,3.6,Sableux,Céréales,0,0.0
34.5,27.4,15.4,0.5,Argileux,Arboriculture,1,16.06
73.8,17.4,61.2,0.7,Limoneux,Céréales,0,0.0
34.1,22.8,84.1,1.6,Sableux,Céréales,0,0.0
59.5,30.1,80.9,1.6,Sableux,Céréales,0,0.0
36.3,30.2,62.0,1.4,Limoneux,Maraîchage,0,0.0
47.5,20.9,49.6,5.2,Argileux,Maraîchage,0,0.0
61.2,27.1,43.6,1.1,Argileux,Arboriculture,1,8.0
34.8,41.4,49.5,6.3,Limoneux,Maraîchage,1,8.44
66.9,25.9,64.8,2.7,Sableux,Maraîchage,0,0.0
23.1,21.1,40.5,2.4,Argileux,Arboriculture,1,13.56
51.5,24.8,68.6,2.8,Limoneux,Maraîchage,0,0.0
65.3,26.6,93.4,0.7,Argileux,Céréales,0,0.0
59.5,24.9,53.9,2.8,Sableux,Arboriculture,0,0.0
87.2,25.8,30.8,4.9,Sableux,Céréales,0,0.0
28.2,15.9,30.8,3.4,Argileux,Maraîchage,0,0.0
14.7,19.3,69.0,0.3,Argileux,Maraîchage,1,10.62
23.1,25.0,53.9,1.4,Limoneux,Arboriculture,0,0.0
59.5,24.8,70.8,0.1,Argileux,Maraîchage,0,0.0
56.0,22.0,45.4,1.3,Argileux,Arboriculture,0,0.0
47.2,24.8,70.0,0.5,Limoneux,Maraîchage,1,6.0
20.3,26.4,52.2,1.8,Argileux,Maraîchage,1,11.28
61.9,32.2,41.8,0.1,Sableux,Arboriculture,0,0.0
18.1,25.3,47.8,8.2,Sableux,Arboriculture,1,8.0
70.5,28.8,33.5,1.2,Argileux,Arboriculture,0,0.0
100.0,22.2,90.8,4.3,Limoneux,Arboriculture,0,0.0
53.1,30.0,53.3,0.7,Sableux,Maraîchage,1,6.0
57.8,28.6,66.6,3.8,Argileux,Arboriculture,0,0.0
34.2,32.1,45.3,1.3,Sableux,Arboriculture,1,11.19
5.2,31.0,36.1,2.9,Argileux,Maraîchage,1,15.09
31.7,30.1,50.8,8.2,Sableux,Maraîchage,0,0.0
21.0,25.3,74.8,3.3,Argileux,Arboriculture,1,11.8
13.2,27.7,45.6,0.4,Argileux,Maraîchage,0,0.0
82.9,33.4,39.3,6.7,Argileux,Arboriculture,0,0.0
51.0,21.4,57.8,4.0,Limoneux,Maraîchage,1,6.0
53.4,21.6,64.0,5.9,Limoneux,Maraîchage,0,0.0
38.2,27.3,84.6,6.8,Argileux,Maraîchage,1,6.0
41.2,28.9,61.4,0.9,Sableux,Maraîchage,0,0.0
66.2,20.2,66.6,1.2,Argileux,Arboriculture,0,0.0
44.3,25.5,67.9,4.3,Limoneux,Arboriculture,0,0.0
56.7,25.3,34.2,0.2,Limoneux,Arboriculture,0,0.0
40.7,10.5,37.7,1.1,Limoneux,Arboriculture,1,8.0
37.5,24.5,35.5,1.3,Limoneux,Maraîchage,0,0.0
14.0,24.9,31.0,6.0,Sableux,Arboriculture,1,11.57
2.0,24.9,69.3,8.5,Sableux,Céréales,0,0.0
39.2,35.9,60.2,0.5,Sableux,Céréales,1,5.23
46.2,17.5,56.4,2.1,Sableux,Arboriculture,0,0.0
16.7,20.2,10.0,3.9,Limoneux,Arboriculture,1,14.53
44.2,8.0,92.0,1.3,Argileux,Arboriculture,0,0.0
46.2,22.6,38.9,2.3,Limoneux,Céréales,1,4.0
2.0,23.2,91.9,0.8,Limoneux,Céréales,1,7.1
24.9,22.4,28.9,4.4,Argileux,Arboriculture,1,13.09
54.0,33.8,40.4,4.3,Limoneux,Maraîchage,0,0.0
53.5,32.0,15.3,1.7,Sableux,Maraîchage,1,6.78
19.6,26.5,61.5,1.3,Argileux,Céréales,1,7.43
48.5,23.4,35.2,0.9,Limoneux,Maraîchage,1,6.34
67.5,33.2,35.7,0.2,Limoneux,Maraîchage,0,0.0
62.1,25.9,30.3,2.4,Limoneux,Arboriculture,0,0.0
42.9,20.3,69.0,6.2,Limoneux,Arboriculture,0,0.0
34.7,14.0,67.8,0.4,Sableux,Céréales,0,0.0
31.2,22.9,87.6,1.6,Limoneux,Céréales,0,0.0
55.3,31.3,42.7,6.4,Argileux,Céréales,0,0.0
49.3,41.9,58.9,5.0,Sableux,Arboriculture,0,0.0
58.8,26.4,31.8,3.9,Limoneux,Céréales,0,0.0
47.9,20.6,49.0,0.0,Sableux,Maraîchage,0,0.0
63.0,17.7,45.7,3.4,Limoneux,Céréales,0,0.0
47.1,29.9,63.4,1.1,Limoneux,Céréales,0,0.0
62.3,13.6,73.3,4.3,Argileux,Arboriculture,1,8.0
64.2,29.9,72.8,0.8,Sableux,Arboriculture,0,0.0
27.3,31.7,39.8,0.0,Sableux,Arboriculture,1,13.95
5.2,29.1,73.0,2.1,Limoneux,Céréales,1,7.8
79.0,24.5,54.2,1.0,Argileux,Céréales,0,0.0
